category,sequence,new_filename,old_filename,old_folder,extension
GEN,1,FU-GEN-0001.jpg,Authority-Approvals-in-Dubai-1536x466.jpg,root,.jpg
APV,1,FU-APV-0001.webp,exterior-after-contemporary-concrete-and-glas-022.webp,approvals,.webp
APV,2,FU-APV-0002.webp,exterior-after-contemporary-curved-architectu-280.webp,approvals,.webp
APV,3,FU-APV-0003.webp,exterior-after-contemporary-geometric-archite-315.webp,approvals,.webp
APV,4,FU-APV-0004.webp,exterior-after-contemporary-horizontal-panel--107.webp,approvals,.webp
APV,5,FU-APV-0005.webp,exterior-after-curved-modern-facade-with-mixe-142.webp,approvals,.webp
APV,6,FU-APV-0006.webp,exterior-after-grey-metal-cladding-panels-102.webp,approvals,.webp
GEN,2,FU-GEN-0002.webp,approved-authorities-dubai-hero.webp,root,.webp
GEN,3,FU-GEN-0003.webp,approved-authorities-dubai.webp,root,.webp
GEN,4,FU-GEN-0004.webp,authority-approvals-dubai.webp,root,.webp
BTH,1,FU-BTH-0001.webp,bathroom-after-black-framed-glass-shower-encl-080.webp,bathroom,.webp
BTH,2,FU-BTH-0002.webp,bathroom-after-black-framed-glass-shower-encl-091.webp,bathroom,.webp
BTH,3,FU-BTH-0003.webp,bathroom-after-black-matte-rainfall-shower-sy-249.webp,bathroom,.webp
BTH,4,FU-BTH-0004.webp,bathroom-after-chrome-framed-glass-shower-enc-096.webp,bathroom,.webp
BTH,5,FU-BTH-0005.webp,bathroom-after-dark-hexagonal-tile-accent-wal-178.webp,bathroom,.webp
BTH,6,FU-BTH-0006.webp,bathroom-after-floating-white-vanity-with-int-071.webp,bathroom,.webp
BTH,7,FU-BTH-0007.webp,bathroom-after-floating-wooden-vanity-unit-092.webp,bathroom,.webp
BTH,8,FU-BTH-0008.webp,bathroom-after-floating-wooden-vanity-with-du-143.webp,bathroom,.webp
BTH,9,FU-BTH-0009.webp,bathroom-after-freestanding-white-bathtub-wit-177.webp,bathroom,.webp
BTH,10,FU-BTH-0010.webp,bathroom-after-glass-shower-enclosure-with-ch-095.webp,bathroom,.webp
BTH,11,FU-BTH-0011.webp,bathroom-after-glass-sliding-doors-on-bathtub-144.webp,bathroom,.webp
BTH,12,FU-BTH-0012.webp,bathroom-after-large-format-beige-marble-wall-207.webp,bathroom,.webp
BTH,13,FU-BTH-0013.webp,bathroom-after-large-oval-mirror-with-black-m-246.webp,bathroom,.webp
BTH,14,FU-BTH-0014.webp,bathroom-after-matte-black-tall-single-handle-206.webp,bathroom,.webp
BTH,15,FU-BTH-0015.webp,bathroom-after-olive-green-subway-tile-walls-292.webp,bathroom,.webp
BTH,16,FU-BTH-0016.webp,bathroom-after-walk-in-marble-shower-with-gla-176.webp,bathroom,.webp
BTH,17,FU-BTH-0017.webp,bathroom-after-wall-mounted-toilet-with-conce-205.webp,bathroom,.webp
BTH,18,FU-BTH-0018.webp,bathroom-after-wall-mounted-toilet-with-conce-248.webp,bathroom,.webp
BTH,19,FU-BTH-0019.webp,calacatta-bath-chandelier-glass-enclosure.webp,bathroom,.webp
BTH,20,FU-BTH-0020.webp,freestanding-bath-reeded-glass-partition.webp,bathroom,.webp
BTH,21,FU-BTH-0021.webp,minimalist-bath-black-vanity-glass-shower.webp,bathroom,.webp
BTH,22,FU-BTH-0022.webp,mirror-reeded-glass-gold-pendants.webp,bathroom,.webp
BTH,23,FU-BTH-0023.webp,spacious-bath-glass-partition-herringbone.webp,bathroom,.webp
BTH,24,FU-BTH-0024.webp,travertine-bath-frameless-glass-divider.webp,bathroom,.webp
CMY,1,FU-CMY-0001.webp,exterior-after-black-aluminum-pergola-with-ho-106.webp,community,.webp
CMY,2,FU-CMY-0002.webp,exterior-after-custom-putting-green-with-sand-168.webp,community,.webp
CMY,3,FU-CMY-0003.webp,other-after-living-green-wall-with-neon-li-046.webp,community,.webp
CMY,4,FU-CMY-0004.webp,pool-after-glass-panel-infinity-pool-with-031.webp,community,.webp
CMY,5,FU-CMY-0005.webp,pool-after-glass-walled-infinity-pool-wit-008.webp,community,.webp
CMY,6,FU-CMY-0006.webp,pool-after-infinity-edge-pool-design-014.webp,community,.webp
CMY,7,FU-CMY-0007.webp,pool-after-infinity-edge-pool-with-mosaic-006.webp,community,.webp
BLD,1,FU-BLD-0001.webp,exterior-after-blue-solar-panel-arrays-coveri-073.webp,construction,.webp
BLD,2,FU-BLD-0002.webp,exterior-after-contemporary-geometric-archite-332.webp,construction,.webp
BLD,3,FU-BLD-0003.webp,exterior-after-curved-architectural-walls-313.webp,construction,.webp
BLD,4,FU-BLD-0004.webp,exterior-after-curved-modern-entrance-with-ho-322.webp,construction,.webp
BLD,5,FU-BLD-0005.webp,exterior-after-curved-modern-facade-271.webp,construction,.webp
BLD,6,FU-BLD-0006.webp,exterior-after-cylindrical-architectural-elem-331.webp,construction,.webp
BLD,7,FU-BLD-0007.webp,exterior-after-floor-to-ceiling-glass-walls-208.webp,construction,.webp
BLD,8,FU-BLD-0008.webp,exterior-after-floor-to-ceiling-glass-windows-285.webp,construction,.webp
BLD,9,FU-BLD-0009.webp,exterior-after-geometric-perforated-metal-scr-296.webp,construction,.webp
BLD,10,FU-BLD-0010.webp,exterior-after-large-solar-panel-array-instal-128.webp,construction,.webp
BLD,11,FU-BLD-0011.webp,exterior-after-large-solar-panel-array-instal-129.webp,construction,.webp
BLD,12,FU-BLD-0012.webp,exterior-after-modern-minimalist-architecture-310.webp,construction,.webp
BLD,13,FU-BLD-0013.webp,exterior-after-red-clay-tile-roof-319.webp,construction,.webp
BLD,14,FU-BLD-0014.webp,exterior-after-transparent-acrylic-dome-110.webp,construction,.webp
BLD,15,FU-BLD-0015.webp,exterior-after-wooden-pergola-with-slatted-ro-306.webp,construction,.webp
BLD,16,FU-BLD-0016.webp,exterior-not-applicable-jumeirah-golf-estates-artificial-putting-green-036.webp,construction,.webp
BLD,17,FU-BLD-0017.webp,exterior-not-applicable-multiple-high-capacity-hvac-un-130.webp,construction,.webp
BLD,18,FU-BLD-0018.webp,exterior-not-applicable-smart-home-automation-system-166.webp,construction,.webp
BLD,19,FU-BLD-0019.webp,exterior-not-applicable-solar-panel-installation-127.webp,construction,.webp
BLD,20,FU-BLD-0020.webp,exterior-not-applicable-solar-panel-installations-126.webp,construction,.webp
BLD,21,FU-BLD-0021.webp,other-after-exposed-brick-accent-wall-068.webp,construction,.webp
BLD,22,FU-BLD-0022.webp,other-after-industrial-black-ceiling-with--059.webp,construction,.webp
BLD,23,FU-BLD-0023.webp,other-not-applicable-central-hvac-unit-in-attic-081.webp,construction,.webp
BLD,24,FU-BLD-0024.webp,other-not-applicable-exposed-industrial-ceiling-wit-051.webp,construction,.webp
BLD,25,FU-BLD-0025.webp,other-not-applicable-exposed-industrial-ceiling-wit-056.webp,construction,.webp
BLD,26,FU-BLD-0026.webp,other-not-applicable-industrial-exposed-ceiling-wit-054.webp,construction,.webp
BLD,27,FU-BLD-0027.webp,other-not-applicable-industrial-grade-air-handling--123.webp,construction,.webp
BLD,28,FU-BLD-0028.webp,other-not-applicable-industrial-hvac-units-122.webp,construction,.webp
BLD,29,FU-BLD-0029.webp,other-not-applicable-industrial-style-exposed-ceili-064.webp,construction,.webp
BLD,30,FU-BLD-0030.webp,other-not-applicable-solar-panel-array-system-159.webp,construction,.webp
BLD,31,FU-BLD-0031.webp,other-not-applicable-stainless-steel-construction-112.webp,construction,.webp
CTR,1,FU-CTR-0001.webp,lowrise-unicorn-rebar-formwork.webp,contracting,.webp
CTR,2,FU-CTR-0002.webp,lowrise-unicorn-signboard-blockwork.webp,contracting,.webp
CTR,3,FU-CTR-0003.webp,structural-rebar-formwork-column.webp,contracting,.webp
CTR,4,FU-CTR-0004.webp,villa-construction-aerial-crane.webp,contracting,.webp
CTR,5,FU-CTR-0005.webp,villa-workers-closeup.webp,contracting,.webp
CTR,6,FU-CTR-0006.webp,villa-workers-facade.webp,contracting,.webp
CTR,7,FU-CTR-0007.webp,villa-workers-scaffolding.webp,contracting,.webp
CTR,8,FU-CTR-0008.webp,worker-plastering-detail.webp,contracting,.webp
GEN,5,FU-GEN-0005.webp,design-approvals-stamp-hero.webp,root,.webp
GEN,6,FU-GEN-0006.webp,design-approvals-stamp.webp,root,.webp
